ProductKey,ProductItemCode,Product Pre-Code,Product Name,Sub Category,Product Category,Product Color,Product Size,Product Line,Product Model Name,Product Description,Product Status
1,AR-5381,AR,Adjustable Race,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
2,BA-8327,BA,Bearing Ball,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
3,BE-2349,BE,BB Ball Bearing,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
4,BE-2908,BE,Headset Ball Bearings,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
5,BL-2036,BL,Blade,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
6,CA-5965,CA,LL Crankarm,NULL,NULL,Black,NULL,NULL,NULL,NULL,Current
7,CA-6738,CA,ML Crankarm,NULL,NULL,Black,NULL,NULL,NULL,NULL,Current
8,CA-7457,CA,HL Crankarm,NULL,NULL,Black,NULL,NULL,NULL,NULL,Current
9,CB-2903,CB,Chainring Bolts,NULL,NULL,Silver,NULL,NULL,NULL,NULL,Current
10,CN-6137,CN,Chainring Nut,NULL,NULL,Silver,NULL,NULL,NULL,NULL,Current
11,CR-7833,CR,Chainring,NULL,NULL,Black,NULL,NULL,NULL,NULL,Current
12,CR-9981,CR,Crown Race,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
13,CS-2812,CS,Chain Stays,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
14,DC-8732,DC,Decal 1,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
15,DC-9824,DC,Decal 2,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
16,DT-2377,DT,Down Tube,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
17,EC-M092,EC,Mountain End Caps,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
18,EC-R098,EC,Road End Caps,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
19,EC-T209,EC,Touring End Caps,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
20,FE-3760,FE,Fork End,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
21,FH-2981,FH,Freewheel,NULL,NULL,Silver,NULL,NULL,NULL,NULL,Current
22,FW-1000,FW,Flat Washer 1,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
23,FW-1200,FW,Flat Washer 6,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
24,FW-1400,FW,Flat Washer 2,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
25,FW-3400,FW,Flat Washer 9,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
26,FW-3800,FW,Flat Washer 4,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
27,FW-5160,FW,Flat Washer 3,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
28,FW-5800,FW,Flat Washer 8,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
29,FW-7160,FW,Flat Washer 5,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
30,FW-9160,FW,Flat Washer 7,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
31,FC-3654,FC,Fork Crown,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
32,FC-3982,FC,Front Derailleur Cage,NULL,NULL,Silver,NULL,NULL,NULL,NULL,Current
33,FL-2301,FL,Front Derailleur Linkage,NULL,NULL,Silver,NULL,NULL,NULL,NULL,Current
34,GP-0982,GP,Guide Pulley,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
35,GT-0820,GT,LL Grip Tape,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
36,GT-1209,GT,ML Grip Tape,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
37,GT-2908,GT,HL Grip Tape,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
38,HJ-1213,HJ,Thin-Jam Hex Nut 9,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
39,HJ-1220,HJ,Thin-Jam Hex Nut 10,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
40,HJ-1420,HJ,Thin-Jam Hex Nut 1,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
41,HJ-1428,HJ,Thin-Jam Hex Nut 2,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
42,HJ-3410,HJ,Thin-Jam Hex Nut 15,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
43,HJ-3416,HJ,Thin-Jam Hex Nut 16,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
44,HJ-3816,HJ,Thin-Jam Hex Nut 5,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
45,HJ-3824,HJ,Thin-Jam Hex Nut 6,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
46,HJ-5161,HJ,Thin-Jam Hex Nut 3,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
47,HJ-5162,HJ,Thin-Jam Hex Nut 4,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
48,HJ-5811,HJ,Thin-Jam Hex Nut 13,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
49,HJ-5818,HJ,Thin-Jam Hex Nut 14,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
50,HJ-7161,HJ,Thin-Jam Hex Nut 7,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
51,HJ-7162,HJ,Thin-Jam Hex Nut 8,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
52,HJ-9080,HJ,Thin-Jam Hex Nut 12,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
53,HJ-9161,HJ,Thin-Jam Hex Nut 11,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
54,HN-1024,HN,Hex Nut 5,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
55,HN-1032,HN,Hex Nut 6,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
56,HN-1213,HN,Hex Nut 16,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
57,HN-1220,HN,Hex Nut 17,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
58,HN-1224,HN,Hex Nut 7,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
59,HN-1420,HN,Hex Nut 8,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
60,HN-1428,HN,Hex Nut 9,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
61,HN-3410,HN,Hex Nut 22,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
62,HN-3416,HN,Hex Nut 23,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
63,HN-3816,HN,Hex Nut 12,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
64,HN-3824,HN,Hex Nut 13,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
65,HN-4402,HN,Hex Nut 1,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
66,HN-5161,HN,Hex Nut 10,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
67,HN-5162,HN,Hex Nut 11,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
68,HN-5400,HN,Hex Nut 2,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
69,HN-5811,HN,Hex Nut 20,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
70,HN-5818,HN,Hex Nut 21,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
71,HN-6320,HN,Hex Nut 3,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
72,HN-7161,HN,Hex Nut 14,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
73,HN-7162,HN,Hex Nut 15,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
74,HN-8320,HN,Hex Nut 4,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
75,HN-9161,HN,Hex Nut 18,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
76,HN-9168,HN,Hex Nut 19,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
77,HT-2981,HT,Handlebar Tube,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
78,HT-8019,HT,Head Tube,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
79,HU-6280,HU,LL Hub,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
80,HU-8998,HU,HL Hub,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
81,KW-4091,KW,Keyed Washer,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
82,LE-1000,LE,External Lock Washer 3,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
83,LE-1200,LE,External Lock Washer 4,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
84,LE-1201,LE,External Lock Washer 9,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
85,LE-1400,LE,External Lock Washer 5,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
86,LE-3800,LE,External Lock Washer 7,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
87,LE-5160,LE,External Lock Washer 6,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
88,LE-6000,LE,External Lock Washer 1,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
89,LE-7160,LE,External Lock Washer 8,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
90,LE-8000,LE,External Lock Washer 2,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
91,LI-1000,LI,Internal Lock Washer 3,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
92,LI-1200,LI,Internal Lock Washer 4,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
93,LI-1201,LI,Internal Lock Washer 9,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
94,LI-1400,LI,Internal Lock Washer 5,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
95,LI-3800,LI,Internal Lock Washer 7,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
96,LI-5160,LI,Internal Lock Washer 6,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
97,LI-5800,LI,Internal Lock Washer 10,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
98,LI-6000,LI,Internal Lock Washer 1,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
99,LI-7160,LI,Internal Lock Washer 8,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
100,LI-8000,LI,Internal Lock Washer 2,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
101,LJ-1213,LJ,Thin-Jam Lock Nut 9,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
102,LJ-1220,LJ,Thin-Jam Lock Nut 10,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
103,LJ-1420,LJ,Thin-Jam Lock Nut 1,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
104,LJ-1428,LJ,Thin-Jam Lock Nut 2,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
105,LJ-3410,LJ,Thin-Jam Lock Nut 15,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
106,LJ-3416,LJ,Thin-Jam Lock Nut 16,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
